dataset,base_lr,model_channels,epoch,ckpt_path,fid
LEAK_PROCESSED,1e-5,192,100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00100.pt,178.7206
LEAK_PROCESSED,1e-5,192,200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00200.pt,170.2776
LEAK_PROCESSED,1e-5,192,300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00300.pt,120.0567
LEAK_PROCESSED,1e-5,192,400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00400.pt,175.3206
LEAK_PROCESSED,1e-5,192,500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00500.pt,179.8788
LEAK_PROCESSED,1e-5,192,600,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00600.pt,172.1317
LEAK_PROCESSED,1e-5,192,700,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00700.pt,112.3239
LEAK_PROCESSED,1e-5,192,800,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00800.pt,118.0614
LEAK_PROCESSED,1e-5,192,900,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00900.pt,106.5998
LEAK_PROCESSED,1e-5,192,1000,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01000.pt,105.1934
LEAK_PROCESSED,1e-5,192,1100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01100.pt,111.7019
LEAK_PROCESSED,1e-5,192,1200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01200.pt,108.5724
LEAK_PROCESSED,1e-5,192,1300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01300.pt,106.4076
LEAK_PROCESSED,1e-5,192,1400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01400.pt,102.2913
LEAK_PROCESSED,1e-5,192,1500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260508-leak_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01500.pt,105.1444
LEAK_PROCESSED,2e-5,192,100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00100.pt,313.9027
LEAK_PROCESSED,2e-5,192,200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00200.pt,213.6478
LEAK_PROCESSED,2e-5,192,300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00300.pt,177.055
LEAK_PROCESSED,2e-5,192,400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00400.pt,170.5364
LEAK_PROCESSED,2e-5,192,500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00500.pt,139.9238
LEAK_PROCESSED,2e-5,192,600,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00600.pt,143.0218
LEAK_PROCESSED,2e-5,192,700,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00700.pt,122.6743
LEAK_PROCESSED,2e-5,192,800,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00800.pt,100.1174
